sample_id,start_time,end_time,CO2_slope,CO2_r2,CO2_adj_r2,CO2_p_value,CH4_slope,CH4_r2,CH4_adj_r2,CH4_p_value,Habitat,Bracken,Headspace height (cm),Headspace volume (m3),Chamber volume (m3),Tube internal diameter  (m),Tube length (m),Tube volume (m3),White plastic fitting internal volume (m3),Los Gatos internal volume (ml),V (m3),V (L) no rhizons,Rhizon volume (L),V (L),p (atm),A (m2),R (L atm mol-1 K-1),T (K),Rack,Rainfall mix,Rainfall volume (ml),CO2 flux (micromol CO2 per s per m2),CH4 flux (nmol CH4 per s per m2)
4-130-HB,2025-11-03T11:20:58Z,2025-11-03T11:22:47Z,0.08495158354870136,0.7725446975301191,0.7704769220531202,3.668124691985502e-37,-9.045694619559202e-6,0.024848013688253262,0.015982995630873797,0.09693341001822077,Heathland,Present,5.5,4.49421e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001486465,1.486464949,0.0025,1.483964949,1,0.008171282,0.082058,288,1,1,613,0.6528170786813052,-0.06951234679219952
14-150-HH,2025-11-03T11:30:03Z,2025-11-03T11:31:38Z,0.06126013231397588,0.7760763763168104,0.7737192855411978,1.245794671173547e-32,-4.0982149931467755e-5,0.2513784716549685,0.2434982450408103,1.6856809908933592e-7,Heathland,Absent,3,2.45138e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001282183,1.282182886,0.0025,1.279682886,1,0.008171282,0.082058,288,1,1,695,0.40595386275829876,-0.2715773120363234
27-171-GB,2025-11-03T11:39:08Z,2025-11-03T11:40:43Z,0.015377313959371386,0.25275859683436,0.24489289785366897,1.5403021031543817e-7,-9.149584325487034e-5,0.6217868288136831,0.6178056375380376,9.014104045261409e-22,Grassland,Present,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001323039,1.323039299,0.0025,1.320539299,1,0.008171282,0.082058,288,1,1,858,0.10515458107165138,-0.6256754003126745
13-127-HH,2025-11-03T11:42:05Z,2025-11-03T11:43:40Z,0.005230691458846604,0.023119599155743787,0.012943761646949437,0.1350127997977938,-7.273540109796643e-5,0.5711570239471736,0.56668990961329,2.389719244491575e-19,Heathland,Absent,4,3.26851e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001363896,1.363895711,0.0025,1.361395711,1,0.008171282,0.082058,288,1,1,776,0.03687566551829313,-0.5127747150314489
56-179-GG,2025-11-03T11:48:09Z,2025-11-03T11:49:44Z,0.24826898597559685,0.9935041037942086,0.9934357259394108,1.0319946664521681e-105,-4.734887344717255e-5,0.3596629439618428,0.3529225538982833,8.526205252081509e-11,Grassland,Absent,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001323039,1.323039299,0.0025,1.320539299,1,0.008171282,0.082058,288,1,1,858,1.6977361119324377,-0.323785478055987
8-133-HB,2025-11-03T11:33:06Z,2025-11-03T11:34:41Z,0.12754780643663666,0.9554020766382215,0.9549326248133607,5.808698146278891e-66,-5.54856290703626e-5,0.46133554555284795,0.4556653934007726,2.053358313351904e-14,Heathland,Present,2.5,2.04282e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001241326,1.241326474,0.0025,1.238826474,1,0.008171282,0.082058,288,1,1,940,0.8182384008723635,-0.3559486726609032
24-169-GB,2025-11-03T11:51:10Z,2025-11-03T11:52:45Z,0.015750864930995485,0.23359214169664455,0.22552469055660918,5.32006814567347e-7,-2.559012420686613e-4,0.9265675845197081,0.9257946117251787,1.1423886771288441e-55,Grassland,Present,4,3.26851e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001363896,1.363895711,0.0025,1.361395711,1,0.008171282,0.082058,288,1,1,613,0.1110414619919634,-1.804069057118602
21-183-GG,2025-11-03T11:24:12Z,2025-11-03T11:25:47Z,0.05433163618538096,0.7909828001123981,0.7887826190609496,4.680828530306094e-34,-8.77504514953441e-5,0.6139174574267684,0.6098534306628396,2.4122136890426297e-21,Grassland,Absent,4.5,3.67708e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001404752,1.404752124,0.0025,1.402252124,1,0.008171282,0.082058,288,1,1,940,0.3945256792517087,-0.6371942557135786
49-140-HB,2025-11-03T11:45:09Z,2025-11-03T11:46:44Z,0.12099065528775094,0.9558709350728887,0.9554064185999717,3.5152300532490833e-66,-8.237674213094906e-5,0.5757429701935817,0.5712771067219351,2.1926062062625115e-19,Heathland,Present,3.5,2.85995e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001323039,1.323039299,0.0025,1.320539299,1,0.008171282,0.082058,288,1,1,695,0.8273695720841044,-0.5633163133505735
12-141-HH,2025-11-03T11:54:08Z,2025-11-03T11:55:46Z,0.09921295873523542,0.8887973826554263,0.88767412389437,5.137844781662852e-49,-1.4351597294378193e-5,0.05713443273591749,0.047610538117088264,0.016070644673770215,Heathland,Absent,4,3.26851e-4,9.14469e-4,0.003,3.12,2.21e-5,5.22e-7,100,0.001363896,1.363895711,0.0025,1.361395711,1,0.008171282,0.082058,288,1,1,858,0.6994379060942526,-0.10117681489044048
