"Sample ID","Habitat","Bracken","elevation (m)","LatitudeN","LongitudeE","Field soil pH","Lysate pH","Rainfall Intensity (ml)","CO2 flux (micromol CO2 per s per m2)","CH4 flux (nmol CH4 per s per m2)","Soil moisture (% wet mass)","Gluc","NAG","Phos","Xylo"
"1-137-HB","Heathland","Present",414,54.527234,-2.7770252,3.44,3.78,940,1.14840514134158,-1.45608065652682,57.76566757,3.1040408409603,3.67962186003767,4.65490054052416,1.22053218232824
"2-138-HB","Heathland","Present",408,54.527041,-2.7761871,3.56,3.74,613,1.90217925375162,-0.894248691590681,59.29648241,1.6205107052553,2.20676663419368,3.95820556986408,0.823908924066355
"4-130-HB","Heathland","Present",413,54.526551,-2.7770431,3.55,3.81,613,0.423014914635756,-0.644825412422717,76.50793651,4.89747148534915,5.30172876639422,14.2664043419566,3.36605559066088
"8-133-HB","Heathland","Present",421,54.52735,-2.7785107,3.83,3.63,940,1.51819275044909,-1.10263641993724,81.1965812,11.986317290995,13.8086432929197,53.3261878090815,11.8192250455828
"9-134-HB","Heathland","Present",431,54.527802,-2.7794155,4.27,3.65,776,2.10845113728826,-1.79793864367426,61.07954545,1.6989096412053,1.79153631629921,4.22264370661739,1.08501971801991
"10-129-HH","Heathland","Absent",409,54.525896,-2.776768,3.42,4.64,695,0.765998494693593,-0.16281320545107,79.94505495,3.9682751847101,2.63368525599945,23.7672488748255,2.56124367924528
"12-141-HH","Heathland","Absent",411,54.527642,-2.7736026,3.51,4.31,858,1.20027546732765,-0.0372735170872691,77.11864407,2.22158531389996,1.48608099317,8.7797770847373,2.64453665706285
"13-127-HH","Heathland","Absent",403,54.525969,-2.7752552,3.82,4.34,776,0.96583441549095,-0.199960426307849,85.84070796,19.0141816706314,18.6978744451631,28.4055166158329,7.36353219921682
"14-150-HH","Heathland","Absent",390,54.529279,-2.7678235,3.66,4.23,695,1.36569866602367,-0.211217068422887,75.79617834,9.3797472141616,9.75128748206929,30.5195540801026,5.99089104018914
"15-154-GB","Grassland","Present",384,54.526325,-2.7686952,4.55,5.63,940,1.57942357747406,-1.32696373216019,38.53904282,0.903062702841516,1.20295406945118,1.50944837107384,0.234065332660375
"17-166-GB","Grassland","Present",343,54.52682,-2.7643935,4.02,4.02,613,1.00366601714924,-1.42687628959893,37.97752809,18.5961285163022,6.10845870119294,5.13502227342226,2.37458016361398
"19-147-HH","Heathland","Absent",426,54.528481,-2.7702809,3.43,4.25,940,0.952387898529553,-0.325451212417094,79.03225806,14.076352575582,62.1740177091888,16.7537567560334,6.02540318006094
"20-177-GB","Grassland","Present",373,54.524388,-2.7694931,3.69,4.16,776,1.37755009019925,-2.23105428793462,62.72965879,16.0814655210844,14.8866699239137,23.7482649468937,6.55411804041328
"22-165-GG","Grassland","Absent",358,54.526932,-2.7651373,4.4,5.16,940,4.52758404164673,-0.241844361316005,68.45637584,14.7509757157389,16.6024890493434,20.9785530160619,4.39767721164196
"23-146-HH","Heathland","Absent",430,54.527571,-2.7706191,3.38,4.9,776,0.941053065920667,0.0129550061663478,76.62721893,28.1780214745411,25.7639096918616,25.510812648261,11.5632043629058
"24-169-GB","Grassland","Present",312,54.526894,-2.7626643,4.01,4.5,613,1.49039230251501,-1.51225861899633,40.10282776,2.60240481006414,3.30294913546442,3.35851721358235,1.23969097798798
"25-174-GB","Grassland","Present",342,54.523628,-2.767532,4.28,4.97,695,1.72716536722069,-0.82130866088684,48.97360704,1.79630058424232,2.2870692505633,2.92809999503207,0.904295951229311
"27-171-GB","Grassland","Present",327,54.525456,-2.7639972,3.59,3.94,858,1.54553852629954,-0.620427098538457,66.27906977,7.11265516282296,13.8156767572054,16.7012193105322,3.08895097066137
"28-176-GB","Grassland","Present",361,54.524067,-2.769039,4.48,5.21,613,3.11924254631088,-1.02004751909567,42.1286031,2.64046728506675,6.94846249353139,3.99960092150935,0.893525815830341
"29-148-HB","Heathland","Present",419,54.528547,-2.769834,3.62,2.97,858,1.88407017323563,-1.67364066430828,59.83606557,4.09927265307839,3.13975444936708,5.36799608220054,1.61461487673405
"30-155-GG","Grassland","Absent",395,54.526257,-2.7695437,4.15,4.59,776,2.83697026565675,-0.237548536900031,56.22222222,5.89222204363325,8.36749874535562,6.81994470262272,2.23045725112491
"32-123-HB","Heathland","Present",410,54.526092,-2.7728471,3.79,4.32,695,0.701187794547703,-2.6791640874235,42.51336898,0.951887623755037,1.65558025507781,6.15349755657726,0.876759825337646
