Date,"Time,",[CH4]_ppm,[CH4]_ppm_sd,[H2O]_ppm,[H2O]_ppm_sd,[CO2]_ppm,[CO2]_ppm_sd,[CH4]d_ppm,[CH4]d_ppm_sd,[CO2]d_ppm,[CO2]d_ppm_sd,GasP_torr,GasP_torr_sd,GasT_C,GasT_C_sd,AmbT_C,AmbT_C_sd,RD0_us,RD0_us_sd,RD1_us,RD1_us_sd,Fit_Flag,MIU_VALVE,M,IU_DESC
03/10/2025,"12:59:01.507,",2.08E+00,0.00E+00,1.21E+04,0.00E+00,5.85E+02,0.00E+00,2.10E+00,0.00E+00,5.92E+02,0.00E+00,1.41E+02,0.00E+00,1.83E+01,0.00E+00,1.98E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"12:59:01.700,",2.09E+00,0.00E+00,1.22E+04,0.00E+00,5.87E+02,0.00E+00,2.11E+00,0.00E+00,5.94E+02,0.00E+00,1.41E+02,0.00E+00,1.83E+01,0.00E+00,1.98E+01,0.00E+00,1.04E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"12:59:02.680,",2.08E+00,0.00E+00,1.22E+04,0.00E+00,5.86E+02,0.00E+00,2.11E+00,0.00E+00,5.93E+02,0.00E+00,1.41E+02,0.00E+00,1.83E+01,0.00E+00,1.97E+01,0.00E+00,1.04E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"12:59:03.652,",2.08E+00,0.00E+00,1.23E+04,0.00E+00,5.86E+02,0.00E+00,2.11E+00,0.00E+00,5.93E+02,0.00E+00,1.41E+02,0.00E+00,1.83E+01,0.00E+00,1.98E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"12:59:04.631,",2.08E+00,0.00E+00,1.22E+04,0.00E+00,5.86E+02,0.00E+00,2.11E+00,0.00E+00,5.93E+02,0.00E+00,1.41E+02,0.00E+00,1.83E+01,0.00E+00,1.98E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"12:59:05.607,",2.08E+00,0.00E+00,1.21E+04,0.00E+00,5.85E+02,0.00E+00,2.11E+00,0.00E+00,5.93E+02,0.00E+00,1.41E+02,0.00E+00,1.83E+01,0.00E+00,1.98E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"12:59:06.583,",2.08E+00,0.00E+00,1.22E+04,0.00E+00,5.85E+02,0.00E+00,2.10E+00,0.00E+00,5.92E+02,0.00E+00,1.41E+02,0.00E+00,1.83E+01,0.00E+00,1.98E+01,0.00E+00,1.04E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"12:59:07.560,",2.08E+00,0.00E+00,1.22E+04,0.00E+00,5.85E+02,0.00E+00,2.11E+00,0.00E+00,5.93E+02,0.00E+00,1.41E+02,0.00E+00,1.83E+01,0.00E+00,1.98E+01,0.00E+00,1.04E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"12:59:08.539,",2.08E+00,0.00E+00,1.23E+04,0.00E+00,5.86E+02,0.00E+00,2.11E+00,0.00E+00,5.94E+02,0.00E+00,1.41E+02,0.00E+00,1.83E+01,0.00E+00,1.98E+01,0.00E+00,1.04E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
03/10/2025,"12:59:09.515,",2.09E+00,0.00E+00,1.23E+04,0.00E+00,5.87E+02,0.00E+00,2.11E+00,0.00E+00,5.94E+02,0.00E+00,1.41E+02,0.00E+00,1.83E+01,0.00E+00,1.98E+01,0.00E+00,1.03E+01,0.00E+00,1.13E+01,0.00E+00,3,0,1,meters
